rank,prev_rank,rider,team,points,manager
1,1,POGAČAR Tadej,UAE Team Emirates - XRG,1823,Joe
2,3,VINGEGAARD Jonas,Team Visma | Lease a Bike,1579,Nick
3,99,SEIXAS Paul,Decathlon CMA CGM Team,1266,Mike
4,6,EVENEPOEL Remco,Red Bull - BORA - hansgrohe,1230,Andy
5,2,DEL TORO Isaac,UAE Team Emirates - XRG,1207,Dave
6,40,ANDRESEN Tobias Lund,Decathlon CMA CGM Team,1069,
7,65,SCHMID Mauro,Team Jayco AlUla,1058,
8,8,VAN DER POEL Mathieu,Alpecin - Premier Tech,990,Mike
9,20,PHILIPSEN Jasper,Alpecin - Premier Tech,875,Tim
10,58,JOHANNESSEN Tobias Halland,Uno-X Mobility,867,
11,27,GALL Felix,Decathlon CMA CGM Team,857,Dave
12,276,PITHIE Laurence,Red Bull - BORA - hansgrohe,845,
13,234,COSNEFROY Benoît,UAE Team Emirates - XRG,838,
14,18,VAN AERT Wout,Team Visma | Lease a Bike,829,Campbell
15,23,LIPOWITZ Florian,Red Bull - BORA - hansgrohe,822,Campbell
16,7,PIDCOCK Thomas,Pinarello Q36.5 Pro Cycling Team,821,Cameron
17,31,MARTINEZ Lenny,Bahrain - Victorious,817,Dave
18,14,SCARONI Christian,XDS Astana Team,766,Campbell
19,28,GRÉGOIRE Romain,Groupama - FDJ United,755,Andy
20,62,PELLIZZARI Giulio,Red Bull - BORA - hansgrohe,745,Campbell
21,11,MAGNIER Paul,Soudal Quick-Step,735,Mike
22,101,GROENEWEGEN Dylan,Unibet Rose Rockets,692,
23,224,IZAGIRRE Ion,Cofidis,691,
24,29,SKJELMOSE Mattias,Lidl - Trek,623,Mike
25,42,MEEUS Jordi,Red Bull - BORA - hansgrohe,608,
26,34,ARENSMAN Thymen,Netcompany INEOS,601,Cameron
27,26,JORGENSON Matteo,Team Visma | Lease a Bike,590,Cameron
28,240,LAPORTE Christophe,Team Visma | Lease a Bike,554,
29,19,MILAN Jonathan,Lidl - Trek,544,Campbell
30,159,STUYVEN Jasper,Soudal Quick-Step,540,
31,251,BAUDIN Alex,EF Education - EasyPost,536,
32,66,GODON Dorian,Netcompany INEOS,534,
33,107,PLAPP Luke,Team Jayco AlUla,530,
34,138,RONDEL Mathys,Tudor Pro Cycling Team,516,
35,49,CHRISTEN Jan,UAE Team Emirates - XRG,508,Tim
36,103,SILVA Guillermo Thomas,XDS Astana Team,505,
37,61,HINDLEY Jai,Red Bull - BORA - hansgrohe,492,Tim
38,5,PEDERSEN Mads,Lidl - Trek,488,Tim
39,89,MORGADO António,UAE Team Emirates - XRG,486,
40,46,BERNAL Egan,Netcompany INEOS,483,
41,78,TIBERI Antonio,Bahrain - Victorious,482,
42,59,GEE Derek,Lidl - Trek,480,Mike
43,143,VENTURINI Clément,Unibet Rose Rockets,477,
44,16,VAUQUELIN Kévin,Netcompany INEOS,473,Dave
45,12,AYUSO Juan,Lidl - Trek,460,Nick
46,83,PIGANZOLI Davide,Team Visma | Lease a Bike,459,
47,262,ARRIETA Igor,UAE Team Emirates - XRG,454,
48,30,BRENNAN Matthew,Team Visma | Lease a Bike,451,Andy
49,25,STORER Michael,Tudor Pro Cycling Team,443,Campbell
50,55,ARANBURU Alex,Cofidis,440,
51,36,STRONG Corbin,NSN Cycling Team,439,Tim
52,35,GANNA Filippo,Netcompany INEOS,439,Cameron
53,13,CICCONE Giulio,Lidl - Trek,439,Dave
54,250,ZANA Filippo,Soudal Quick-Step,436,
55,229,TESFATSION Natnael,Movistar Team,436,
56,87,RICCITELLO Matthew,Decathlon CMA CGM Team,430,
57,285,FOLDAGER Anders,Team Jayco AlUla,420,
58,47,BILBAO Pello,Bahrain - Victorious,419,
59,41,GIRMAY Biniam,NSN Cycling Team,417,Dave
60,17,MERLIER Tim,Soudal Quick-Step,413,Tim
61,282,EULÁLIO Afonso,Bahrain - Victorious,412,
62,194,BARRENETXEA Jon,Movistar Team,396,
63,212,NORDHAGEN Jørgen,Team Visma | Lease a Bike,395,Gemini's Hipsters
64,10,DE LIE Arnaud,Lotto Intermarché,393,Mike
65,117,ROMEO Iván,Movistar Team,392,
66,187,LEKNESSUND Andreas,Uno-X Mobility,392,
67,43,YATES Adam,UAE Team Emirates - XRG,390,Andy
68,306,VLASOV Aleksandr,Red Bull - BORA - hansgrohe,388,
69,152,VERNON Ethan,NSN Cycling Team,372,
70,95,TEJADA Harold,XDS Astana Team,370,
71,112,VERMEERSCH Florian,UAE Team Emirates - XRG,366,
72,136,GRUEL Thibaud,Groupama - FDJ United,361,
73,64,CHAMPOUSSIN Clément,XDS Astana Team,360,
74,214,VENDRAME Andrea,Team Jayco AlUla,356,
75,1111,TUCKWELL Luke,Red Bull - BORA - hansgrohe,349,
76,113,LAPEIRA Paul,Decathlon CMA CGM Team,349,
77,60,BUITRAGO Santiago,Bahrain - Victorious,348,
78,67,TULETT Ben,Team Visma | Lease a Bike,348,Gemini's Hipsters
79,33,NARVÁEZ Jhonatan,UAE Team Emirates - XRG,343,Nick
80,490,MARTÍNEZ Daniel Felipe,Red Bull - BORA - hansgrohe,342,
81,84,UIJTDEBROEKS Cian,Movistar Team,339,Andy
82,503,HAGENES Per Strand,Team Visma | Lease a Bike,336,
83,230,DE SCHUYTENEER Steffen,Lotto Intermarché,333,
84,175,PARET-PEINTRE Valentin,Soudal Quick-Step,332,
85,249,MOZZATO Luca,Tudor Pro Cycling Team,332,
86,200,SEGAERT Alec,Bahrain - Victorious,332,
87,21,VINE Jay,UAE Team Emirates - XRG,328,Nick
88,518,RUIZ Ibon,Equipo Kern Pharma,325,
89,51,KUBIŠ Lukáš,Unibet Rose Rockets,320,
90,635,BERWICK Sebastian,Caja Rural - Seguros RGA,320,
91,122,ANIOŁKOWSKI Stanisław,Cofidis,319,
92,140,COQUARD Bryan,Cofidis,317,
93,69,O'CONNOR Ben,Team Jayco AlUla,314,Nick
94,479,VALGREN Michael,EF Education - EasyPost,313,
95,189,TURGIS Anthony,TotalEnergies,312,
96,32,ROGLIČ Primož,Red Bull - BORA - hansgrohe,311,Cameron
97,86,MULUBRHAN Henok,XDS Astana Team,310,
98,431,VINOKUROV Nicolas,XDS Astana Team,309,
99,75,KANTER Max,XDS Astana Team,307,
100,174,SHEEHAN Riley,NSN Cycling Team,305,
101,252,ZIMMERMANN Georg,Lotto Intermarché,300,
102,215,GILMORE Brady,NSN Cycling Team,295,
103,110,TRENTIN Matteo,Tudor Pro Cycling Team,295,
104,1184,OLIVER Ben,Modern Adventure Pro Cycling,291,
105,179,FEDOROV Yevgeniy,XDS Astana Team,290,
106,1529,GRISEL Matys,Lotto Intermarché,289,
107,780,ISIDORE Noa,Decathlon CMA CGM Team,289,
108,235,RAJOVIĆ Dušan,Solution Tech NIPPO Rali,288,
109,500,STEINHAUSER Georg,EF Education - EasyPost,288,
110,141,RENARD Alexis,Cofidis,284,
111,231,VERMEERSCH Gianni,Red Bull - BORA - hansgrohe,282,
112,421,DE GENDT Aimé,Pinarello Q36.5 Pro Cycling Team,281,
113,217,SÖDERQVIST Jakob,Lidl - Trek,279,Joe
114,383,BERASATEGI Xabier,Euskaltel - Euskadi,278,
115,73,FRETIN Milan,Cofidis,277,
116,157,CARUSO Damiano,Bahrain - Victorious,273,
117,272,FANCELLU Alessandro,MBH Bank CSB Telecom Fort,272,
118,937,KRON Andreas,Uno-X Mobility,268,
119,90,ULISSI Diego,XDS Astana Team,268,
120,167,RODRÍGUEZ Cristián,XDS Astana Team,265,
121,44,WÆRENSKJOLD Søren,Uno-X Mobility,263,
122,281,GAUTHERAT Pierre,Decathlon CMA CGM Team,261,
123,102,ASKEY Lewis,NSN Cycling Team,261,
124,438,VAN DIJKE Tim,Red Bull - BORA - hansgrohe,260,
125,243,HARPER Chris,Pinarello Q36.5 Pro Cycling Team,257,
126,197,TILLER Rasmus,Uno-X Mobility,257,
127,221,WELSFORD Sam,Netcompany INEOS,255,
128,260,LAMPERTI Luke,EF Education - EasyPost,255,Gemini's Hipsters
129,732,L'HOTE Antoine,Decathlon CMA CGM Team,255,
130,321,PINARELLO Alessandro,NSN Cycling Team,253,
131,109,MOSCHETTI Matteo,Pinarello Q36.5 Pro Cycling Team,249,Andy
132,823,BIESTERBOS Frits,Team Picnic PostNL,249,
133,329,BRENNER Marco,Tudor Pro Cycling Team,248,
134,53,BITTNER Pavel,Team Picnic PostNL,248,
135,177,BERCKMOES Jenno,Lotto Intermarché,248,
136,496,HEIDUK Kim,Netcompany INEOS,246,
137,601,VERSTRYNGE Emiel,Alpecin - Premier Tech,246,
138,734,SOSA Iván Ramiro,Equipo Kern Pharma,245,
139,4,ALMEIDA João,UAE Team Emirates - XRG,242,Andy
140,483,QUINTANA Nairo,Movistar Team,241,
141,77,JEGAT Jordan,TotalEnergies,241,
